apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
,Oklahoma State University,1980,,,,Don Youman,,207,,WSB,,,
,Grand Canyon University,1980,,,,Gerald Ross,,208,,NYK,,,
,University of Arkansas,1980,,,,Steve Schall,,209,,SAS,,,
,Alabama State University,1980,,,,Melvin Crayton,,210,,MIL,,,
,University of Kansas,1980,,,,Randy Carroll,,211,,PHO,,,
,Texas Tech University,1980,,,,Kent Williams,,212,,SEA,,,
,King's College,1980,,,,Joe Hand,,213,,PHI,,,
,Providence College,1980,,,,John Nolan,,214,,BOS,,,
3.1,DePaul University,1981,923,27730,30.0,Mark Aguirre,20.0,1,5.0,DAL,67.8,.117,13
9.3,Indiana University,1981,979,35516,36.3,Isiah Thomas,19.2,2,3.6,DET,80.7,.109,13
1.3,University of Maryland,1981,1307,42464,32.5,Buck Williams,12.8,3,10.0,NJN,120.1,.136,17
1.8,University of North Carolina,1981,417,9939,23.8,Al Wood,11.8,4,3.0,ATL,15.4,.074,6
1.2,University of Utah,1981,510,10624,20.8,Danny Vranes,5.1,5,3.9,SEA,15.3,.069,7
1.9,University of Notre Dame,1981,851,24041,28.3,Orlando Woolridge,16.0,6,4.3,CHI,53.0,.106,13
1.2,Oregon State University,1981,626,13618,21.8,Steve Johnson,11.7,7,5.5,KCK,26.9,.095,10
2.1,University of Utah,1981,1107,33922,30.6,Tom Chambers,18.1,8,6.1,SDC,79.0,.112,16
3.0,Kansas State University,1981,980,32087,32.7,Rolando Blackman,18.0,9,3.3,DAL,75.6,.113,13
2.2,University of Maryland,1981,534,12836,24.0,Albert King,12.1,10,4.2,NJN,16.3,.061,9
4.2,Wake Forest University,1981,596,12897,21.6,Frank Johnson,8.3,11,1.7,WSB,17.2,.064,10
3.0,University of Notre Dame,1981,707,20959,29.6,Kelly Tripucka,17.2,12,3.8,DET,44.4,.102,10
1.1,Syracuse University,1981,1138,21975,19.3,Danny Schayes,7.7,13,5.0,UTA,48.8,.107,18
1.7,Ohio State University,1981,1102,28484,25.8,Herb Williams,10.8,14,5.9,IND,36.1,.061,18
0.9,University of Virginia,1981,291,3471,11.9,Jeff Lamp,5.1,15,1.5,POR,5.2,.072,6
5.0,University of Kansas,1981,620,14395,23.2,Darnell Valentine,8.7,16,2.1,POR,22.1,.074,9
1.2,Alabama State University,1981,148,2094,14.1,Kevin Loder,5.9,17,2.3,KCK,2.4,.055,3
0.5,Indiana University,1981,261,2789,10.7,Ray Tolbert,3.6,18,2.3,NJN,2.9,.051,5
1.2,University of Michigan,1981,520,9271,17.8,Mike McGee,9.6,19,2.1,LAL,15.1,.078,9
2.6,Clemson University,1981,920,30697,33.4,Larry Nance,17.1,20,8.0,PHO,109.6,.171,13
1.0,Arizona State University,1981,953,18965,19.9,Alton Lister,6.6,21,6.3,MIL,36.6,.093,16
2.6,Cleveland State University,1981,296,4436,15.0,Franklin Edwards,6.1,22,1.0,PHI,3.9,.043,7
0.5,University of Wyoming,1981,110,910,8.3,Charles Bradley,3.2,23,1.1,BOS,0.3,.016,3
2.0,Michigan State University,1981,576,15556,27.0,Jay Vincent,15.2,24,5.5,DAL,27.5,.085,9
1.0,University of Notre Dame,1981,129,1797,13.9,Tracy Jackson,5.4,25,1.9,BOS,2.4,.064,3
,Utah State University,1981,,,,Brian Jackson,,26,,POR,,,
0.2,University of Tennessee,1981,42,342,8.1,Howard Wood,3.4,27,1.5,UTA,0.3,.049,1
2.9,Duke University,1981,468,13074,27.9,Gene Banks,11.3,28,5.8,SAS,31.2,.115,6
2.1,University of Illinois at Urbana-Champaign,1981,1199,32604,27.2,Eddie Johnson,16.0,29,4.0,KCK,65.6,.097,17
0.7,University of South Alabama,1981,83,929,11.2,Ed Rains,3.5,30,1.5,SAS,0.7,.034,2
4.0,Brigham Young University,1981,1042,27755,26.6,Danny Ainge,11.5,31,2.7,BOS,71.5,.124,14
,Lamar University,1981,,,,Mike Olliver,,32,,CHI,,,
0.6,Arizona State University,1981,257,4528,17.6,Sam Williams,6.3,33,4.5,GSW,9.0,.095,4
0.3,University of Texas-Pan American,1981,7,72,10.3,Ken Green,4.4,34,3.9,DEN,0.3,.184,1
0.7,Vanderbilt University,1981,415,5050,12.2,Charles Davis,5.3,35,2.4,WSB,5.8,.056,8
1.4,Oregon State University,1981,49,546,11.1,Ray Blume,4.6,36,0.8,IND,-0.1,-0.013,1
,Bucknell University,1981,,,,Al Leslie,,37,,IND,,,
,DePaul University,1981,,,,Clyde Bradshaw,,38,,ATL,,,
,University of Toledo,1981,,,,Harvey Knuckles,,39,,LAL,,,
,Louisiana State University,1981,,,,Greg Cook,,40,,NYK,,,
0.6,University of Wisconsin,1981,25,315,12.6,Claude Gregory,5.4,41,3.9,WSB,0.0,.007,2
,Florida State University,1981,,,,Elvis Rolle,,42,,LAL,,,
1.8,University of Mississippi,1981,505,9006,17.8,Elston Turner,4.7,43,2.7,DAL,8.5,.045,8
0.5,South Dakota State University,1981,10,67,6.7,Steve Lingenfelter,1.0,44,1.6,WSB,0.0,.009,2
,Texas A&M University-Kingsville,1981,,,,Ed Turner,,45,,HOU,,,
,Texas A&M University,1981,,,,Vernon Smith,,46,,PHI,,,
,University of Kansas,1981,,,,Art Housey,,47,,DAL,,,
,Colgate University,1981,,,,Mike Ferrara,,48,,WSB,,,
1.7,Saint Louis University,1981,9,87,9.7,David Burns,2.6,49,0.6,NJN,-0.1,-0.071,1
,University of Illinois at Urbana-Champaign,1981,,,,Derek Holcomb,,50,,POR,,,
,University of South Carolina,1981,,,,Zam Fredrick,,51,,LAL,,,
0.8,Louisiana State University,1981,160,2752,17.2,Rudy Macklin,6.4,52,2.9,ATL,3.2,.056,3
1.7,Oregon State University,1981,97,808,8.3,Mark Radford,3.6,53,0.8,SEA,0.4,.023,2
0.6,Ohio State University,1981,76,876,11.5,Jim Smith,2.9,54,2.5,SDC,0.7,.037,2
1.0,Florida State University,1981,33,221,6.7,Mickey Dillard,2.2,55,0.5,CLE,-0.2,-0.051,1
,University of Pittsburgh,1981,,,,Carlton Neverson,,56,,GSW,,,
1.9,Pennsylvania State University,1981,731,16278,22.3,Frank Brickowski,10.0,57,4.7,NYK,29.8,.088,12
,University of Missouri,1981,,,,Curtis Berry,,58,,KCK,,,
,American University,1981,,,,Russell Bowers,,59,,CLE,,,
,University of Southern California,1981,,,,Purvis Miller,,60,,IND,,,
1.0,University of Washington,1981,150,2060,13.7,Petur Gudmundsson,4.6,61,3.8,POR,2.1,.050,4
,University of Pittsburgh,1981,,,,Sam Clancy,,62,,PHO,,,
